ManagedPoolThread #14 14:24:33 INFO  Clearing index dependent cache for site 'scheduler'.
ManagedPoolThread #14 14:24:33 INFO  Clearing index dependent cache for site 'system'.
ManagedPoolThread #14 14:24:33 INFO  Clearing index dependent cache for site 'publisher'.
ManagedPoolThread #14 14:24:33 INFO  IndexDependentHtmlCacheManager done.
ManagedPoolThread #18 14:24:33 INFO  Items from installed items have been indexed.
7040 14:24:34 WARN  Hosting Environment Stop Requested : immediate=False
7040 14:24:34 WARN  [Index=sitecore_core_index] Crawling Stopped
7040 14:24:34 WARN  [Index=sitecore_master_index] Crawling Stopped
7040 14:24:34 WARN  [Index=sitecore_web_index] Crawling Stopped
7040 14:25:04 WARN  Hosting Environment Stop Requested : immediate=True
